Number,Name
26,VSS
27,VDD
28,PA4
29,PA5
30,PA6
31,PA7
32,PC4
33,PC5
34,PBO
35,PB1
36,PB2
37,PE7
38,PE8
39,PE9
40,PE10
41,PE11
42,PE12
43,PE13
44,PE14
45,PE15
46,PB10
47,PB11
48,/CAP1
49,VSS
50,VDD
1, PD14
51,PB12
52, PB13
53,PB14
54,PB15
55, PD8
56,PD9
57,PD10
58,PD11
59,PD12
60,PD13
61, PD14
62,PD15
63,PC6
64,PC7
65,PC8
66,PC9
67,PA8
68,PA9
69,PA10
70,PA11
71, PA12
72,PA13
73,VCAP2
74,VSS
75,VDD
1,PE2
2,PE3I
3,PE4
4,PE5
5,PE6
6,VBAT
7,PC13-ANTLTAMP
8,PC14-OSC32 IN
9,PC15-OSC32OUT
10,VSS
11,VDD
12,PHO-OSCIN
13,PH1-OSC OUTL
14,NRST
15,PCO
16,PC1 
17,PC2
18,PC3
19,VSSA
20,VREF+C
21,VDDA
22,PAO-WKUP
23,PA1
24,PA2
25,PA3 
