Number,Name
1,AINA+ 1
2,AINA– 2
3,REFHA 3
4,REFHA 4
5,REFLA 5
6,VDD 7
7,VDD 7
8,CLKA 8
9,CLKB 9
10,VDD 10
11,REFLB 11
12,REFLB 12
13,REFHB 13
14,REFHB 14
15,AINB– 15
16,AINB+ 16
17,GND 17
18,VDD 18
19,VDD 18
20,VCMB 20
21,MUX 21
22,OEB 23
23,OEB 23
24,NC 24
25,NC 25
26,DB0 26
27,DB1 27
28,DB2 28
29,DB3 29
30,DB4 30
31,OGND 31
32,OVDD 32
33,33 DB5
34,34 DB6
35,35 DB7
36,36 DB8
37,37 DB9
38,37 DB9
39,39 DB11
40,40 OFB 
41,41 NC
42,42 NC
43,43 DA0
44,44 DA1 
45,45 DA2
46,46 DA3
47,47 DA4 
48,48 DA5 
49,49 OVDD
50,50 OGND
51,51 DA6
52,52 DA7
53,53 DA8
54,54 DA9
55,55 DA10
56,56 DA11
57,57 OFA
58,58 OEA
59,59 SHDNA
60,60 MODE
61,61 VCMA
62,62 SENSEA
63,63 VDD
64,64 GND
65,57 OFA
