Number,Name
1,PWM3H/RE5
2,PWM4L/RE6
3,PWM4H/RE7
4,SCK2/FLT12/CN8/RG6
5,SDI2/FLT11/CN9/RG7
6,SDO2/FLT10/CN10/RG8
7,MCLR
8,SS2/FLT9/SYNCI2/CN11/RG9
9,VSS
10,VDD
11,AN5/AQEB1/CN7/RB5
12,AN4/AQEA1/CN6/RB4
13,AN3/AINDX1/CN5/RB3
14,AN2/ASS1/CN4/RB2
15,PGEC3/AN1/CN3/RB1
16,PGED3/AN0/CN2/RB0
17,PGEC1/AN6/OCFA/RB6
18,PGED1/AN7/RB7
19,AVDD
20,AVSS
21,AN8/U2CTS/RB8
22,AN9/RB9
23,TMS/AN10/RB10
24,TDO/AN11/RB11
25,VSS
26,VDD
27,TCK/AN12/RB12
28,TDI/AN13/RB13
29,AN14/SS1/U2RTS/RB14
30,AN15/CN12/RB15
31,U2RX/SDA2/FLT17/CN17/RF4
32,U2TX/SCL2/FLT18/CN18/RF5
33,U1TX/SDO1/RF3
34,U1RX/SDI1/RF2
35,U1RTS/SCK1/INT0/RF6
36,SDA1/RG3
37,SCL1/RG2
38,VDD
39,OSC1/CLKIN/RC12
40,OSC2/REFCLKO/CLKO/RC15
41,VSS
42,IC1/FLT1/SYNCI1/INT1/RD8
43,IC2/FLT2/U1CTS/INT2/RD9
44,IC3/INDX1/FLT3/INT3/RD10
45,IC4/QEA1/FLT4/INT4/RD11
46,OC1/QEB1/FLT5/RD0
47,PGED2/SOSCI/T4CK/CN1/RC13
48,PGEC2/SOSCO/T1CK/CN0/RC14
49,OC2/SYNCO2/FLT6/RD1
50,OC3/FLT7/RD2
51,OC4/SYNCO1/RD3
52,PWM6L/CN13/RD4
53,PWM6H/CN14/RD5
54,PWM5L/CN15/RD6
55,PWM5H/UPDN1/CN16/RD7
56,VCAP
57,VDD
58,SYNCI4/RF0
59,RF1
60,PWM1L/FLT8/RE0
61,PWM1H/RE1
62,PWM2L/RE2
63,PWM2H/RE3
64,PWM3L/RE4
